condition,architecture,seed,agents,tasks,margin,safe_completion_rate,raw_completion_rate,constraint_violation_rate,compromised_assignment_rate,messages_per_safe_completion,messages,contract_fields_transmitted,false_rejection_rate,strategy_entropy,unavailable_task_rate
independent_compromise_10pct,peer_reputation,5160182,500,1200,0,0.8883333333333333,0.9991666666666666,0.11092577147623019,0.009174311926605505,16.797373358348967,17906,0,0.0,0.9915744558940862,0.0
independent_compromise_10pct,constraint_contract,5160182,500,1200,0,0.9241666666666667,0.9475,0.024626209322779244,0.0,15.138863841298468,16789,72000,0.06017643352236925,0.9913254580064607,0.029166666666666667
independent_compromise_10pct,peer_reputation,5170189,500,1200,0,0.8908333333333334,0.9975,0.10693400167084377,0.003341687552213868,17.10196445275959,18282,0,0.0,0.9909749054010518,0.0
independent_compromise_10pct,constraint_contract,5170189,500,1200,0,0.9433333333333334,0.965,0.022452504317789293,0.0,14.829505300353357,16787,72000,0.05716070591910042,0.9904713895252671,0.015833333333333335
independent_compromise_10pct,peer_reputation,5180196,500,1200,0,0.9166666666666666,1.0,0.08333333333333333,0.005833333333333334,16.185454545454544,17804,0,0.0,0.9979581487470767,0.0
independent_compromise_10pct,constraint_contract,5180196,500,1200,0,0.9525,0.9716666666666667,0.01972555746140652,0.0,14.619422572178477,16710,72000,0.05593143888137122,0.9995789064380362,0.015
independent_compromise_10pct,peer_reputation,5190203,500,1200,0,0.9058333333333334,0.9966666666666667,0.09113712374581939,0.005016722408026756,16.537258509659612,17976,0,0.0,0.9978635338405469,0.0
independent_compromise_10pct,constraint_contract,5190203,500,1200,0,0.9433333333333334,0.9716666666666667,0.029159519725557463,0.0,14.818904593639576,16775,72000,0.060816681146828845,0.9964360763251416,0.009166666666666667
collusion_10pct,peer_reputation,5900000,500,1200,0,0.8958333333333334,0.9991666666666666,0.10341951626355296,0.0025020850708924102,16.816744186046513,18078,0,0.0,0.992663255848894,0.0
collusion_10pct,constraint_contract,5900000,500,1200,0,0.9416666666666667,0.9708333333333333,0.030042918454935622,0.005150214592274678,14.995575221238939,16945,72000,0.062433702076072135,0.9920131434247914,0.005833333333333334
collusion_10pct,peer_reputation,5910007,500,1200,0,0.9066666666666666,0.9991666666666666,0.09257714762301918,0.006672226855713094,16.821691176470587,18302,0,0.0,0.9858899414786024,0.0
collusion_10pct,constraint_contract,5910007,500,1200,0,0.9258333333333333,0.9525,0.02799650043744532,0.0026246719160104987,15.325832583258325,17027,72000,0.056377511291076154,0.9890614239228153,0.0075
collusion_10pct,peer_reputation,5920014,500,1200,0,0.91,1.0,0.09,0.005833333333333334,16.256410256410255,17752,0,0.0,0.9939583307376475,0.0
collusion_10pct,constraint_contract,5920014,500,1200,0,0.9525,0.9758333333333333,0.02391118701964133,0.005123825789923143,14.820647419072616,16940,72000,0.05633383010432191,0.9936054718161323,0.0016666666666666668
collusion_10pct,peer_reputation,5930021,500,1200,0,0.9208333333333333,0.9991666666666666,0.07839866555462886,0.008340283569641367,16.13574660633484,17830,0,0.0,0.9879576501185258,0.0
collusion_10pct,constraint_contract,5930021,500,1200,0,0.9383333333333334,0.9716666666666667,0.03430531732418525,0.0017152658662092624,14.946714031971581,16830,72000,0.05595776772247361,0.9943187633500122,0.005
collusion_10pct,peer_reputation,5940028,500,1200,0,0.9275,0.9975,0.07017543859649122,0.005847953216374269,16.062893081761008,17878,0,0.0,0.9909655722897409,0.0
collusion_10pct,constraint_contract,5940028,500,1200,0,0.9391666666666667,0.9716666666666667,0.03344768439108062,0.005145797598627788,15.074534161490684,16989,72000,0.052935237271022645,0.9948944601076821,0.004166666666666667
collusion_10pct,peer_reputation,5950035,500,1200,0,0.8841666666666667,0.9983333333333333,0.11435726210350584,0.00667779632721202,17.560791705937795,18632,0,0.0,0.9893490368806022,0.0
collusion_10pct,constraint_contract,5950035,500,1200,0,0.95,0.97,0.020618556701030927,0.003436426116838488,14.91842105263158,17007,72000,0.056138749429484255,0.9939278367968839,0.005833333333333334
collusion_10pct,peer_reputation,5960042,500,1200,0,0.905,0.9991666666666666,0.09424520433694746,0.008340283569641367,16.65377532228361,18086,0,0.0,0.989911285852388,0.0
collusion_10pct,constraint_contract,5960042,500,1200,0,0.9566666666666667,0.9758333333333333,0.01964133219470538,0.005123825789923143,14.795296167247386,16985,72000,0.05781021897810219,0.9912859818496591,0.005833333333333334
collusion_10pct,peer_reputation,5970049,500,1200,0,0.8933333333333333,0.9991666666666666,0.10592160133444536,0.008340283569641367,16.83768656716418,18050,0,0.0,0.9947600905755573,0.0
collusion_10pct,constraint_contract,5970049,500,1200,0,0.9358333333333333,0.9708333333333333,0.036051502145922745,0.0034334763948497852,15.1219946571683,16982,72000,0.053093329299652096,0.9961950729107033,0.0
collusion_10pct,peer_reputation,5980056,500,1200,0,0.8958333333333334,0.9966666666666667,0.10117056856187291,0.005852842809364548,16.974883720930233,18248,0,0.0,0.9888303811764149,0.0
collusion_10pct,constraint_contract,5980056,500,1200,0,0.9241666666666667,0.9608333333333333,0.03816131830008673,0.010407632263660017,15.386834986474302,17064,72000,0.06006541778174249,0.9883186418126017,0.008333333333333333
collusion_10pct,peer_reputation,5990063,500,1200,0,0.8791666666666667,0.9983333333333333,0.11936560934891485,0.005008347245409015,17.2739336492891,18224,0,0.0,0.9881098959084216,0.0
collusion_10pct,constraint_contract,5990063,500,1200,0,0.925,0.955,0.031413612565445025,0.007853403141361256,15.37927927927928,17071,72000,0.05448963929393707,0.9948336653103149,0.0025
collusion_10pct,peer_reputation,6000070,500,1200,0,0.8975,0.9983333333333333,0.1010016694490818,0.008347245409015025,16.79108635097493,18084,0,0.0,0.9887788884555074,0.0
collusion_10pct,constraint_contract,6000070,500,1200,0,0.9275,0.9666666666666667,0.04051724137931034,0.01293103448275862,15.212938005390836,16932,72000,0.057753524329240566,0.9902475292048057,0.006666666666666667
collusion_10pct,peer_reputation,6010077,500,1200,0,0.8875,0.9991666666666666,0.11175979983319433,0.012510425354462052,16.824413145539907,17918,0,0.0,0.9929874954218582,0.0
collusion_10pct,constraint_contract,6010077,500,1200,0,0.9466666666666667,0.975,0.02905982905982906,0.004273504273504274,14.897007042253522,16923,72000,0.056173024932412136,0.9952406169610041,0.0025
collusion_10pct,peer_reputation,6020084,500,1200,0,0.9075,0.9991666666666666,0.09174311926605505,0.004170141784820684,16.416896235078053,17878,0,0.0,0.9869844047450571,0.0
